theta,p,model
40,2.41031157808725e-05,brooklyn prior
40.1,2.41505125586722e-05,brooklyn prior
40.2,2.41978828508582e-05,brooklyn prior
40.3,2.42452267340248e-05,brooklyn prior
40.4,2.42925442843545e-05,brooklyn prior
40.5,2.43398355776213e-05,brooklyn prior
40.6,2.43871006891937e-05,brooklyn prior
40.7,2.44343396940383e-05,brooklyn prior
40.8,2.44815526667224e-05,brooklyn prior
40.9,2.45287396814174e-05,brooklyn prior
41,2.4575900811902e-05,brooklyn prior
41.1,2.46230361315647e-05,brooklyn prior
41.2,2.46701457134075e-05,brooklyn prior
41.3,2.47172296300484e-05,brooklyn prior
41.4,2.47642879537244e-05,brooklyn prior
41.5,2.48113207562944e-05,brooklyn prior
41.6,2.48583281092425e-05,brooklyn prior
41.7,2.49053100836801e-05,brooklyn prior
41.8,2.49522667503496e-05,brooklyn prior
41.9,2.49991981796262e-05,brooklyn prior
42,2.50461044415217e-05,brooklyn prior
42.1,2.50929856056864e-05,brooklyn prior
42.2,2.51398417414125e-05,brooklyn prior
42.3,2.51866729176362e-05,brooklyn prior
42.4,2.52334792029407e-05,brooklyn prior
42.5,2.52802606655586e-05,brooklyn prior
42.6,2.53270173733751e-05,brooklyn prior
42.7,2.53737493939296e-05,brooklyn prior
42.8,2.54204567944193e-05,brooklyn prior
42.9,2.54671396417009e-05,brooklyn prior
43,2.55137980022935e-05,brooklyn prior
43.1,2.55604319423811e-05,brooklyn prior
43.2,2.56070415278152e-05,brooklyn prior
43.3,2.56536268241166e-05,brooklyn prior
43.4,2.57001878964786e-05,brooklyn prior
43.5,2.57467248097688e-05,brooklyn prior
43.6,2.5793237628532e-05,brooklyn prior
43.7,2.58397264169919e-05,brooklyn prior
43.8,2.5886191239054e-05,brooklyn prior
43.9,2.59326321583076e-05,brooklyn prior
44,2.59790492380281e-05,brooklyn prior
44.1,2.60254425411795e-05,brooklyn prior
44.2,2.60718121304162e-05,brooklyn prior
44.3,2.61181580680856e-05,brooklyn prior
44.4,2.61644804162302e-05,brooklyn prior
44.5,2.62107792365894e-05,brooklyn prior
44.6,2.62570545906025e-05,brooklyn prior
44.7,2.63033065394098e-05,brooklyn prior
44.8,2.63495351438556e-05,brooklyn prior
44.9,2.63957404644897e-05,brooklyn prior
45,2.64419225615697e-05,brooklyn prior
45.1,2.64880814950631e-05,brooklyn prior
45.2,2.65342173246492e-05,brooklyn prior
45.3,2.65803301097214e-05,brooklyn prior
45.4,2.66264199093887e-05,brooklyn prior
45.5,2.66724867824781e-05,brooklyn prior
45.6,2.67185307875365e-05,brooklyn prior
45.7,2.67645519828325e-05,brooklyn prior
45.8,2.68105504263584e-05,brooklyn prior
45.9,2.6856526175832e-05,brooklyn prior
46,2.69024792886989e-05,brooklyn prior
46.1,2.69484098221337e-05,brooklyn prior
46.2,2.69943178330425e-05,brooklyn prior
46.3,2.70402033780643e-05,brooklyn prior
46.4,2.70860665135731e-05,brooklyn prior
46.5,2.71319072956796e-05,brooklyn prior
46.6,2.71777257802328e-05,brooklyn prior
46.7,2.72235220228222e-05,brooklyn prior
46.8,2.72692960787791e-05,brooklyn prior
46.9,2.73150480031789e-05,brooklyn prior
47,2.7360777850842e-05,brooklyn prior
47.1,2.74064856763365e-05,brooklyn prior
47.2,2.7452171533979e-05,brooklyn prior
47.3,2.7497835477837e-05,brooklyn prior
47.4,2.75434775617299e-05,brooklyn prior
47.5,2.75890978392314e-05,brooklyn prior
47.6,2.76346963636704e-05,brooklyn prior
47.7,2.76802731881332e-05,brooklyn prior
47.8,2.77258283654647e-05,brooklyn prior
47.9,2.77713619482702e-05,brooklyn prior
48,2.7816873988917e-05,brooklyn prior
48.1,2.78623645395359e-05,brooklyn prior
48.2,2.79078336520229e-05,brooklyn prior
48.3,2.79532813780403e-05,brooklyn prior
48.4,2.79987077690187e-05,brooklyn prior
48.5,2.80441128761585e-05,brooklyn prior
48.6,2.8089496750431e-05,brooklyn prior
48.7,2.81348594425804e-05,brooklyn prior
48.8,2.81802010031247e-05,brooklyn prior
48.9,2.82255214823578e-05,brooklyn prior
49,2.82708209303504e-05,brooklyn prior
49.1,2.83160993969517e-05,brooklyn prior
49.2,2.8361356931791e-05,brooklyn prior
49.3,2.84065935842786e-05,brooklyn prior
49.4,2.84518094036078e-05,brooklyn prior
49.5,2.84970044387557e-05,brooklyn prior
49.6,2.85421787384852e-05,brooklyn prior
49.7,2.85873323513458e-05,brooklyn prior
49.8,2.86324653256753e-05,brooklyn prior
49.9,2.86775777096009e-05,brooklyn prior
50,2.8722669551041e-05,brooklyn prior
50.1,2.87677408977059e-05,brooklyn prior
